S_NO,NAME,DEPARTMENT,MATHS_ATT,CT_ATT,DE_ATT,CPP_ATT,COE_ATT,MATHS_SCORE,CT_SCORE,DE_SCORE,CPP_SCORE,STUDENT_PROFILE,PARENT_ID,PARENT_PASSWORD
2,Balkies53,Computer Science Engineering,97,72,55,96,65,85,52,57,42,Struggling Academically,p_balkies53,pass_9109
3,Arjun51,Computer Science Engineering,43,89,91,63,49,93,49,79,54,Inconsistent Learner,p_arjun51,pass_5994
4,Siva53,Computer Science Engineering,71,84,40,72,46,85,50,72,68,Inconsistent Learner,p_siva53,pass_7419
5,Vikram11,Computer Science Engineering,93,66,51,40,75,62,61,58,53,Inconsistent Learner,p_vikram11,pass_2803
6,Pradhik24,Computer Science Engineering,76,81,55,41,55,55,94,51,79,Inconsistent Learner,p_pradhik24,pass_3851
7,Siva47,Computer Science Engineering,68,58,78,95,90,96,92,37,43,Practical Learner,p_siva47,pass_1085
8,Balkies76,Computer Science Engineering,72,43,71,91,44,52,87,71,86,Inconsistent Learner,p_balkies76,pass_7811
9,Pennesh29,Computer Science Engineering,55,86,85,90,63,43,90,45,88,Inconsistent Learner,p_pennesh29,pass_6540
10,Riya49,Computer Science Engineering,45,64,85,75,40,38,36,34,42,Inconsistent Learner,p_riya49,pass_3641
11,Vijay55,Computer Science Engineering,70,64,58,84,30,97,51,31,93,Inconsistent Learner,p_vijay55,pass_5687
12,Sneha38,Computer Science Engineering,56,89,89,69,32,52,97,59,97,Inconsistent Learner,p_sneha38,pass_9324
13,Rahul18,Computer Science Engineering,94,60,78,73,68,63,62,91,77,Inconsistent Learner,p_rahul18,pass_2163
14,Siva73,Computer Science Engineering,42,54,45,45,51,74,34,88,87,Inconsistent Learner,p_siva73,pass_4972
15,Ajith91,Computer Science Engineering,68,68,79,56,35,30,93,78,54,Inconsistent Learner,p_ajith91,pass_3721
16,Pooja42,Computer Science Engineering,75,53,52,55,49,64,44,44,78,Needs Motivation,p_pooja42,pass_2604
18,Arjun79,Computer Science Engineering,56,48,56,64,73,34,87,71,68,Inconsistent Learner,p_arjun79,pass_9432
19,Pradhik94,Computer Science Engineering,58,69,67,79,48,32,53,58,68,Inconsistent Learner,p_pradhik94,pass_6669
20,Pennesh38,Computer Science Engineering,85,64,63,90,98,82,76,85,62,Inconsistent Learner,p_pennesh38,pass_8018
21,Sabereesh82,Computer Science Engineering,75,52,98,77,74,80,83,85,49,Inconsistent Learner,p_sabereesh82,pass_8001
22,Vikram99,Computer Science Engineering,47,56,84,40,73,94,94,61,31,Inconsistent Learner,p_vikram99,pass_6884
23,Mitul2,Computer Science Engineering,94,83,70,71,30,91,66,38,34,Inconsistent Learner,p_mitul2,pass_6876
24,Sabereesh19,Computer Science Engineering,63,83,41,96,85,36,74,53,38,Practical Learner,p_sabereesh19,pass_2786
25,Sneha15,Computer Science Engineering,45,73,88,86,93,98,41,80,36,Practical Learner,p_sneha15,pass_1507
26,Vikram91,Computer Science Engineering,41,71,87,62,62,97,80,39,94,Inconsistent Learner,p_vikram91,pass_2456
27,Sabereesh51,Computer Science Engineering,94,43,64,72,60,57,75,62,72,Inconsistent Learner,p_sabereesh51,pass_7286
28,Rahul68,Computer Science Engineering,96,97,86,77,37,91,77,44,46,Inconsistent Learner,p_rahul68,pass_3661
29,Siva43,Computer Science Engineering,70,81,64,95,95,89,98,52,82,Inconsistent Learner,p_siva43,pass_1360
30,Mitul45,Computer Science Engineering,97,45,71,52,82,71,46,76,58,Practical Learner,p_mitul45,pass_6816
31,Arjun58,Computer Science Engineering,44,44,99,97,98,84,41,61,63,Practical Learner,p_arjun58,pass_7008
32,Riya63,Computer Science Engineering,82,68,61,91,36,74,38,38,47,Inconsistent Learner,p_riya63,pass_3323
33,Priya19,Computer Science Engineering,81,72,42,79,58,96,96,93,85,Theoretical Learner,p_priya19,pass_7665
34,Mitul53,Computer Science Engineering,72,60,46,90,73,48,60,87,90,Inconsistent Learner,p_mitul53,pass_5738
35,Vijay25,Computer Science Engineering,74,83,79,41,68,93,40,71,58,Inconsistent Learner,p_vijay25,pass_4591
36,Ajay66,Computer Science Engineering,83,86,96,86,82,57,53,99,99,Inconsistent Learner,p_ajay66,pass_3341
37,Rahul63,Computer Science Engineering,59,59,49,48,95,38,73,41,46,Practical Learner,p_rahul63,pass_4314
38,Priya39,Computer Science Engineering,46,74,69,84,69,84,98,92,51,Inconsistent Learner,p_priya39,pass_7507
39,Karan55,Computer Science Engineering,96,65,76,63,40,64,44,83,85,Inconsistent Learner,p_karan55,pass_2117
40,Arjun5,Computer Science Engineering,45,65,62,43,67,33,33,44,54,Inconsistent Learner,p_arjun5,pass_4160
41,Neha1,Computer Science Engineering,66,73,67,70,97,85,94,80,95,Inconsistent Learner,p_neha1,pass_1317
42,Ajay2,Computer Science Engineering,84,48,87,76,48,91,77,72,83,Theoretical Learner,p_ajay2,pass_1819
43,Balkies82,Computer Science Engineering,65,99,78,45,59,45,48,33,68,Inconsistent Learner,p_balkies82,pass_3311
44,Neha93,Computer Science Engineering,57,65,83,96,47,57,35,32,97,Inconsistent Learner,p_neha93,pass_7224
45,Balkies96,Computer Science Engineering,69,83,83,89,78,89,53,93,54,Inconsistent Learner,p_balkies96,pass_6851
46,Mitul37,Computer Science Engineering,73,41,60,97,36,43,86,49,95,Inconsistent Learner,p_mitul37,pass_4906
47,Neha71,Computer Science Engineering,64,82,67,55,61,81,57,64,76,Inconsistent Learner,p_neha71,pass_3737
48,Arjun30,Computer Science Engineering,91,97,75,89,66,75,62,79,95,Inconsistent Learner,p_arjun30,pass_9947
49,Pennesh63,Computer Science Engineering,69,97,92,88,79,57,40,56,97,Inconsistent Learner,p_pennesh63,pass_2450
50,Neha31,Computer Science Engineering,84,81,68,61,54,32,75,40,45,Inconsistent Learner,p_neha31,pass_9005
51,Sneha53,Computer Science Engineering,94,96,54,64,73,53,40,30,82,Inconsistent Learner,p_sneha53,pass_7307
52,Arjun8,Computer Science Engineering,51,41,65,78,63,76,84,88,39,Inconsistent Learner,p_arjun8,pass_5133
53,Sneha41,Computer Science Engineering,66,51,62,99,40,51,34,89,53,Inconsistent Learner,p_sneha41,pass_6574
54,Sneha95,Computer Science Engineering,88,72,59,81,52,63,66,60,45,Inconsistent Learner,p_sneha95,pass_6287
55,Balkies28,Computer Science Engineering,46,86,84,51,52,34,37,92,73,Inconsistent Learner,p_balkies28,pass_1960
56,Sneha61,Computer Science Engineering,49,60,89,63,78,93,43,87,48,Inconsistent Learner,p_sneha61,pass_5585
57,Siva10,Computer Science Engineering,76,48,49,63,89,51,30,40,93,Practical Learner,p_siva10,pass_9629
58,Vijay96,Computer Science Engineering,43,81,68,69,69,83,76,60,87,Inconsistent Learner,p_vijay96,pass_1088
59,Ajith61,Computer Science Engineering,58,61,65,81,55,58,88,70,81,Inconsistent Learner,p_ajith61,pass_2831
60,Arjun20,Computer Science Engineering,87,79,91,68,61,36,76,93,36,Inconsistent Learner,p_arjun20,pass_1833
61,Sneha44,Computer Science Engineering,43,76,66,76,58,86,66,87,89,Theoretical Learner,p_sneha44,pass_5817
62,Rahul45,Computer Science Engineering,53,62,72,83,34,93,96,46,39,Inconsistent Learner,p_rahul45,pass_6357
63,Vijay87,Computer Science Engineering,78,84,78,49,99,62,60,69,54,Practical Learner,p_vijay87,pass_7305
64,Ajay97,Computer Science Engineering,70,43,44,52,96,84,38,72,55,Practical Learner,p_ajay97,pass_5187
65,Sabereesh98,Computer Science Engineering,49,64,99,99,71,51,79,88,68,Inconsistent Learner,p_sabereesh98,pass_6275
66,Karan81,Computer Science Engineering,76,72,50,73,88,93,56,33,49,Practical Learner,p_karan81,pass_3157
67,Pooja69,Computer Science Engineering,52,95,49,81,88,33,37,75,78,Practical Learner,p_pooja69,pass_5098
68,Amit88,Computer Science Engineering,74,46,49,45,40,82,31,84,52,Inconsistent Learner,p_amit88,pass_7606
69,Vijay51,Computer Science Engineering,74,97,94,41,72,83,48,51,48,Inconsistent Learner,p_vijay51,pass_1756
70,Pooja31,Computer Science Engineering,53,57,91,51,74,51,62,76,31,Inconsistent Learner,p_pooja31,pass_2892
71,Balkies59,Computer Science Engineering,78,53,87,68,62,43,81,40,46,Inconsistent Learner,p_balkies59,pass_7428
72,Vikram85,Computer Science Engineering,73,67,44,92,80,95,86,34,91,Inconsistent Learner,p_vikram85,pass_8682
73,Arjun16,Computer Science Engineering,40,95,55,76,69,52,88,68,98,Inconsistent Learner,p_arjun16,pass_3056
74,Neha62,Computer Science Engineering,64,59,94,87,69,59,66,74,49,Inconsistent Learner,p_neha62,pass_9576
75,Siva58,Computer Science Engineering,78,87,49,86,46,79,98,54,65,Inconsistent Learner,p_siva58,pass_3627
76,Vikram23,Computer Science Engineering,62,90,46,95,81,57,49,93,87,Inconsistent Learner,p_vikram23,pass_3015
77,Rahul44,Computer Science Engineering,74,45,89,50,50,86,73,64,89,Inconsistent Learner,p_rahul44,pass_8583
78,Ajay21,Computer Science Engineering,45,49,44,67,37,49,94,87,42,Inconsistent Learner,p_ajay21,pass_4852
79,Amit21,Computer Science Engineering,53,86,72,85,72,63,86,75,31,Inconsistent Learner,p_amit21,pass_3140
80,Mitul58,Computer Science Engineering,74,69,40,60,68,65,62,42,57,Inconsistent Learner,p_mitul58,pass_1976
81,Pennesh45,Computer Science Engineering,99,47,95,78,31,85,48,91,43,Inconsistent Learner,p_pennesh45,pass_8793
82,Rahul88,Computer Science Engineering,64,72,46,59,48,61,31,78,94,Inconsistent Learner,p_rahul88,pass_1237
83,Riya20,Computer Science Engineering,77,86,61,74,30,52,33,91,96,Inconsistent Learner,p_riya20,pass_6064
84,Rahul17,Computer Science Engineering,79,46,69,53,87,47,43,42,55,Practical Learner,p_rahul17,pass_2085
